Course,OutsideElective,ArtsCourses,DiscreteStructures,LinearAlgebra,ProbabilityStatistics,Calculus,Foundations,Systems,Capstone,ArchitecturePath,DataPath,DesignPath,MLPath,SecurityPath,SoftwarePath,CompBioPath,SystemsPath,TheoryPath,VisualCompPath
CSCI1470,f,f,f,f,f,f,f,f,f,f,f,f,c,f,f,r,f,f,r
CSCI1480,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
CSCI1490,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
CSCI1510,f,f,f,f,f,f,f,f,f,f,f,f,f,c,f,f,f,c,f
CSCI1550,f,f,f,f,f,f,f,f,f,f,r,f,r,f,f,f,f,c,f
CSCI1570,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,c,f
CSCI1575,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
CSCI1580,f,f,f,f,f,f,f,f,f,f,r,f,f,f,f,f,f,f,f
CSCI1590,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
CSCI1600,f,f,f,f,f,f,f,f,t,r,f,r,f,f,c,f,r,f,f
CSCI1610,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
CSCI1620,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
CSCI1650,f,f,f,f,f,f,f,f,f,f,f,f,f,c,r,f,r,f,f
CSCI1660,f,f,f,f,f,f,f,f,t,f,f,f,f,c,f,f,r,f,f
CSCI1670,f,f,f,f,f,f,f,f,t,f,f,f,f,r,f,f,c,f,f
CSCI1680,f,f,f,f,f,f,f,f,t,f,f,f,f,r,r,f,c,f,f
CSCI1690,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
CSCI1695,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
CSCI1710,f,f,f,f,f,f,f,f,t,f,f,f,f,r,c,f,r,r,f
CSCI1729,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
CSCI1730,f,f,f,f,f,f,f,f,t,f,f,f,f,r,c,f,r,f,f
CSCI1760,f,f,f,f,f,f,f,f,t,r,f,f,f,f,f,f,r,c,f
CSCI1780,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
CSCI1800,f,t,f,f,f,f,f,f,f,f,f,f,f,r,f,f,f,f,f
CSCI1805,f,t,f,f,f,f,f,f,f,f,f,f,f,r,f,f,f,f,f
